Model,Size,p,q,bpp,L_k,L_low,L_high,ODR_k,|Delta_c_k|,s_k,H_k_bits,CE_k(w=2)
jpeg,1024x1024,,3.0,2.2073,0.016,0.0068,0.0231,0.0081,0.0026,0.0487,0.0363,0.9844
cheng2020-anchor,256x256,,3.0,1.8269,0.6674,0.1319,0.7349,0.763,0.0299,0.1667,0.6184,0.7783
cheng2020-anchor,512x512,,3.0,2.3738,0.67,0.1658,0.7521,0.7679,0.0209,0.1761,0.5879,0.7579
jpeg,128x128,,3.0,2.4414,0.0171,0.0076,0.0293,0.0087,0.0029,0.0531,0.0447,0.9843
jpeg,256x256,,3.0,2.274,0.0173,0.0069,0.0247,0.0088,0.0027,0.0513,0.043,0.9842
cheng2020-anchor,1024x1024,,3.0,1.937,0.669,0.1903,0.7622,0.7661,0.0259,0.1799,0.5515,0.7528
cheng2020-attn,64x64,,3.0,1.2874,0.5091,0.2375,0.8698,0.4765,0.0293,0.1442,0.5957,0.8615
jpeg,128x128,,4.0,2.8501,0.0109,0.0047,0.0153,0.0055,0.0019,0.0398,0.0306,0.99
jpeg,256x256,,4.0,2.6554,0.0101,0.0042,0.0139,0.0051,0.0017,0.0392,0.0268,0.9903
cheng2020-anchor,1024x1024,,4.0,4.6983,0.9757,0.9945,0.6066,1.0,0.1396,0.3418,1.0682,0.0356
cheng2020-attn,64x64,,4.0,2.2182,0.3041,0.0694,0.5764,0.2151,0.0178,0.1373,0.44,0.8994
jpeg,512x512,,4.0,2.5877,0.0097,0.0041,0.0132,0.0049,0.0017,0.0372,0.0242,0.9905
jpeg,1024x1024,,4.0,2.5706,0.0096,0.0042,0.0129,0.0049,0.0017,0.0368,0.0228,0.9906
cheng2020-anchor,256x256,,4.0,3.9106,0.5233,0.0538,0.5115,0.4996,0.0328,0.2002,0.5439,0.8187
cheng2020-anchor,512x512,,4.0,5.2771,0.5914,0.2678,0.5363,0.6191,0.0529,0.2182,0.5814,0.7551
bmshj2018-factorized,64x64,,4.0,0.7991,0.7209,0.3577,0.9231,0.8574,0.0178,0.1586,0.7182,0.798
mbt2018,64x64,,4.0,1.6426,0.3381,0.1501,0.696,0.25,0.0127,0.1151,0.459,0.904
mbt2018,128x128,,4.0,1.6315,0.3475,0.1524,0.7222,0.2601,0.0108,0.1187,0.4535,0.8879
